quarter,market,operator_id,metric_id,value,basis_matches_dictionary,basis_note,source_type,source_url,source_page,entered_on,status
FY2025,AT,a1-at,service_revenue_growth,-2.9,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,AT,a1-at,ebitdaal_margin,27.5,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,AT,a1-at,ebitdaal_margin,28.9,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,AT,a1-at,ebitdaal_growth,-7.0,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,AT,a1-at,capex_intensity,16.2,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,AT,a1-at,capex_intensity,18.7,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,AT,a1-at,opfcf_margin,11.3,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,AT,a1-at,opfcf_margin,10.2,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,AT,a1-at,opex_proxy_margin,64.0,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,AT,a1-at,ebit_margin,11.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,AT,a1-at,ebit_margin,13.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,service_revenue_growth,8.2,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,ebitdaal_margin,35.1,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BG,a1-bg,ebitdaal_margin,34.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,ebitdaal_growth,9.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,capex_intensity,12.6,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BG,a1-bg,capex_intensity,14.7,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,opfcf_margin,22.5,yes,derived: (EBITDAaL - capex)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BG,a1-bg,opfcf_margin,20.1,yes,derived,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,opex_proxy_margin,58.5,yes,derived: (revenue - EBITDA)/revenue,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,BG,a1-bg,ebit_margin,23.6,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2024,BG,a1-bg,ebit_margin,22.8,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,service_revenue_growth,5.2,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
FY2025,HR,a1-hr,ebitdaal_margin,33.6,yes,,a1_annual_report_2025,https://a1.com/wp-content/uploads/sites/6/2026/03/A1-Telekom-Austria-Group-Annual-financial-report-2025.pdf,11-18,2026-09-09,REAL
